fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
105,HEX0000105,Oceano,Marina,Baja California,4,0.353577062487602,0.0883942656219006,0.0858439207077026,0.0904144644737244
106,HEX0000106,Oceano,Marina,Baja California,4,0.353800885379314,0.0884502213448286,0.0854472815990448,0.0918379500508308
107,HEX0000107,Oceano,Marina,Baja California,4,0.341178506612778,0.0852946266531944,0.0848136842250824,0.0866004079580307
108,HEX0000108,Oceano,Marina,Baja California,4,0.34186527878046,0.0854663196951151,0.0835054889321327,0.0871152356266975
109,HEX0000109,Oceano,Marina,Baja California,4,0.344007082283497,0.0860017705708742,0.0845678523182869,0.0866499841213226
110,HEX0000110,Oceano,Marina,Baja California,4,0.359045408666134,0.0897613521665335,0.0880314111709595,0.0908840522170067
111,HEX0000111,Oceano,Marina,Baja California,4,0.35762831568718,0.0894070789217949,0.0879321619868279,0.0911897048354149
112,HEX0000112,Oceano,Marina,Baja California,5,0.46244066208601,0.092488132417202,0.090622715651989,0.0936515033245087
113,HEX0000113,Oceano,Marina,Baja California,4,0.374629326164722,0.0936573315411806,0.0927041694521904,0.0943937599658966
114,HEX0000114,Oceano,Marina,Baja California,4,0.372498124837875,0.0931245312094688,0.0929612517356873,0.0934839770197868
115,HEX0000115,Oceano,Marina,Baja California,5,0.44257990270853,0.0885159805417061,0.0844497606158257,0.0946353375911713
116,HEX0000116,Oceano,Marina,Baja California,4,0.362543128430843,0.0906357821077108,0.089958168566227,0.0912821665406227
117,HEX0000117,Oceano,Marina,Baja California,4,0.365867078304291,0.0914667695760727,0.0905355587601662,0.0922795236110687
118,HEX0000118,Oceano,Marina,Baja California,4,0.379944145679474,0.0949860364198685,0.0927276462316513,0.0974095016717911
119,HEX0000119,Oceano,Marina,Baja California,4,0.357175946235657,0.0892939865589142,0.0879781097173691,0.0911543741822243
120,HEX0000120,Oceano,Marina,Baja California,5,0.434113517403603,0.0868227034807205,0.0856075957417488,0.0883639380335808
121,HEX0000121,Oceano,Marina,Baja California,4,0.362999342381954,0.0907498355954885,0.0896719992160797,0.0917892977595329
122,HEX0000122,Oceano,Marina,Baja California,5,0.46758146584034,0.0935162931680679,0.0925713628530502,0.094823881983757
123,HEX0000123,Oceano,Marina,Baja California,6,0.585551835596561,0.0975919725994269,0.0963693931698799,0.0989736840128899
124,HEX0000124,Oceano,Marina,Baja California,4,0.419415190815926,0.104853797703981,0.103916846215725,0.106102220714092
125,HEX0000125,Oceano,Marina,Baja California,4,0.349042758345604,0.087260689586401,0.0832050293684006,0.0924665853381157
126,HEX0000126,Oceano,Marina,Baja California,4,0.379820473492146,0.0949551183730364,0.090914212167263,0.099676601588726
127,HEX0000127,Oceano,Marina,Baja California,6,0.519649781286716,0.0866082968811194,0.08498764783144,0.0874201506376266
128,HEX0000128,Oceano,Marina,Baja California,4,0.344459712505341,0.0861149281263351,0.0850749835371971,0.0871354714035988
129,HEX0000129,Oceano,Marina,Baja California,5,0.424277141690254,0.0848554283380508,0.0839480087161064,0.0854313150048256
130,HEX0000130,Oceano,Marina,Baja California,5,0.443543292582035,0.088708658516407,0.0871907100081444,0.0896793454885483
131,HEX0000131,Oceano,Marina,Baja California,4,0.352026894688606,0.0880067236721516,0.0872089564800262,0.0894156843423843
132,HEX0000132,Oceano,Marina,Baja California,5,0.448622934520245,0.0897245869040489,0.0876227840781212,0.0915231704711914
133,HEX0000133,Oceano,Marina,Baja California,4,0.361923277378082,0.0904808193445206,0.0899025946855545,0.091013103723526
134,HEX0000134,Oceano,Marina,Baja California,4,0.372224196791649,0.0930560491979122,0.0894922316074371,0.0950950011610985
135,HEX0000135,Oceano,Marina,Baja California,5,0.469749502837658,0.0939499005675316,0.0929378122091293,0.094712071120739
136,HEX0000136,Oceano,Marina,Baja California,4,0.381450146436691,0.0953625366091728,0.0940378233790398,0.0977335572242737
137,HEX0000137,Oceano,Marina,Baja California,4,0.354693122208118,0.0886732805520296,0.0865551456809044,0.0903498604893684
138,HEX0000138,Oceano,Marina,Baja California,5,0.457240223884583,0.0914480447769165,0.0891826003789902,0.092962734401226
139,HEX0000139,Oceano,Marina,Baja California,5,0.473571538925171,0.0947143077850342,0.0933417603373528,0.0969643294811249
140,HEX0000140,Oceano,Marina,Baja California,4,0.36870750784874,0.0921768769621849,0.091316930949688,0.093163937330246
141,HEX0000141,Oceano,Marina,Baja California,5,0.450938515365124,0.0901877030730247,0.0880599096417427,0.0914197564125061
142,HEX0000142,Oceano,Marina,Baja California,6,0.543476916849613,0.0905794861416022,0.0898898988962173,0.0916152074933052
143,HEX0000143,Oceano,Marina,Baja California,4,0.37028668820858,0.092571672052145,0.0916967242956161,0.0932941511273384
144,HEX0000144,Oceano,Marina,Baja California,4,0.376441158354282,0.0941102895885706,0.0938332825899124,0.0943689122796059
145,HEX0000145,Oceano,Marina,Baja California,6,0.607271887362003,0.101211981227001,0.100461713969707,0.101966962218285
146,HEX0000146,Oceano,Marina,Baja California,4,0.424384981393814,0.106096245348454,0.105551347136497,0.106976710259914
147,HEX0000147,Oceano,Marina,Baja California,6,0.513893276453018,0.0856488794088364,0.0825351998209953,0.0903600826859474
148,HEX0000148,Oceano,Marina,Baja California,4,0.337767094373703,0.0844417735934258,0.0822788774967194,0.0873683765530586
149,HEX0000149,Oceano,Marina,Baja California,4,0.342122375965118,0.0855305939912796,0.0852774456143379,0.0862322226166725
150,HEX0000150,Oceano,Marina,Baja California,6,0.5050413236022,0.0841735539336999,0.0822544619441032,0.0866251215338707
151,HEX0000151,Oceano,Marina,Baja California,4,0.348151229321957,0.0870378073304892,0.085675336420536,0.0888376235961914
152,HEX0000152,Oceano,Marina,Baja California,4,0.341491021215916,0.0853727553039789,0.0839904621243477,0.0869692638516426
153,HEX0000153,Oceano,Marina,Baja California,6,0.522662274539471,0.0871103790899118,0.0844430029392242,0.0893797799944878
154,HEX0000154,Oceano,Marina,Baja California,4,0.368115171790123,0.0920287929475307,0.0903602465987206,0.0949709340929985
155,HEX0000155,Oceano,Marina,Baja California,5,0.452924758195877,0.0905849516391754,0.0895765423774719,0.0914110243320465
